emotion,essay,Unnamed: 2
disgust,travelling bus three people sitting behind two men woman drunk conversation unbelievable fucking fellatio etc tried get others take part conversation loathed felt like crying,
shame,seven years old stole chewinggum big glass bowl counter nearby shop got caught,
guilt,secretary association last meeting forgot take minutes,
joy,away home long time came home delighted wonderful see familiar dear people rejoycing advance feeling lonely,
fear,awoke night remember dreaming antthing particular felt oppressing fear dark others sleeping,
anger,one winter day unwillingly outdoors younger brother years younger lost temper wanted throw brother snow bank pushed hard wanted alone two us,
sadness,class excursion boat stockholm night class mates prepared clebrate motive life life merriment felt depressed way sought happiness,
disgust,way home bus man drunk fair amount alcohol started talking trying hug pat woman sitting next fortunately,
shame,gave wrong answer school,
guilt,little brother asked play told time would play next day however next day said thing,
joy,long time saw girl love,
fear,walking fairly outoftheway street,
anger,friend mine promised arrange tickets concert considered important could get way thought would gave whole thing,
sadness,sad saw beautiful girl attainable,
disgust,heard somebody talk studies highly enthusiastic studentlike way,
shame,attending affairs taking time bank officer felt clothes appearance place raggy,
guilt,one evening went friends mine although supposed stay home little sister,
joy,watching entertainment program clever amusing sketch,
fear,army room mate mine came back furlough threatened another fellow knife,
anger,last day school traditionally celebrated singing song students leaving song things irritated lot,
sadness,worked seven months factory made friends fellow worker later visited former fellow workers told army friend shot,
disgust,behaviour fellow towards others army really mean detested,
shame,tried date girl refused,
guilt,calculation exercises neglected part though marked done chance asked demonstrate part blackboard,
joy,army result shooting exercises got three day furlough,
fear,years old would usually come home school mother car first time take school bus mistook bus stop found two kilometres away lived scared wondering would get back home,
anger,read newspaper student lodging fund going build new appartments refugees opinion states affair fractoin students find appartment,
sadness,lead rather secure life thing remember song nineteenth century alcohol melody word although naive effected emotions,
disgust,yesterday elevator man started smoking something tolerate,
shame,primary school faltered answering question others started laughing,
guilt,generally shopping feel like guilty thefts year never stolen,
joy,favourite football team made goal win cup england,
fear,less years old neighbours dog chased roof small shed seemed hope getting away,
anger,playing ball game make goal thrown feet failed score goal,
sadness,heard death frantois truffaut french motion picture director radio planned go see last film,
disgust,saw movie called thing film directed john carpenter monster film made feel disgusted,
shame,misbehaved party wish meet person question later,
guilt,playing ball game made mistake lost game,
joy,sauna bath,
fear,dream african elephant,
anger,came lesson cancelled fill questionnaire instead,
sadness,car froze could start,
disgust,saw computer teacher,
shame,going downhill skis fell twice first time,
guilt,involved car crash,
joy,passed exam thought failed,
fear,mother come home midnight forgotten tell young alone home,
anger,girlfriend started singing sing stop despite asking,
disgust,still child saw horror film tv rotten human skull,
shame,small boy took coin empty taxi cab mother saw told driver even knew driver,
guilt,betrayed former girlfriend,
anger,new years eve party country hardly knew person partner spent time bar little opportunity get know people table separated boyfriends parents present,
sadness,christmas eve tension parents even try restore harmonic atmosphere mother stayed room almost whole day felt alone sad,
disgust,father said pregnant procure abortion filled disgust father,
shame,intimate relation boyfriend unfortunately sexual problems therefore deceived ashamed told friend,
guilt,work commercial house cold day winter late let fellow worker stand cold half hour,
joy,one year searching friend found flat able pay,
fear,car accident middle night,
anger,weekend wanted absent school sports event teacher refused give day didnt like,
sadness,six years old favourite cat died,
disgust,gigantic spider climbed face flat,
shame,fat felt absolutely unwell afraid leaving house getting know new people,
guilt,said responsible mother getting ill growing thin realize really fault several weeks later,
joy,car prizecompetition moment informed felt joy,
fear,sister undergo complicated operation eyesight stake,
anger,quarrel parents,I was convinced to be right.
sadness,heard friend died accident group situation suddenly friend came said already heard terrible consternation silence everybody shouted excitedly could happen,
disgust,scuffle carriage underground vienna three drunk men thrashed man wheel chair watched scene another carriage,
shame,put end friendship girl pretended love affection able sleep,
guilt,young girl tried put end life lovers grief hospital heard reason action,
joy,order admitted final examination pass two examinations studied much resigned left behind nevertheless succeeded examinations,
fear,told parents bad marks school one day father wanted speak teachers fortunately could influence parents take easy,
anger,wanted go friend mine party moment wanted leave father said couldnt go needed work afternoon,
sadness,friend mine repeated year school pass final examination take half year later,
disgust,ecoactivists demonstrated project build power station danube middle lowland forest hainburg government decided delay another year father heard said needed another hitler,
shame,time room looked terribly untidy time aunt came see fortunately could prevent entering room,
guilt,supposed fetch friends bus stop father bad mood afraid would grumble,
joy,boyfriend returned long absence,
fear,car skidded wet street,
anger,wanted see friend looking forward certain expectations pay attention played cards people,
sadness,good friend quitted behaved strange manner,
disgust,broad daylight saw untidy old man pissing playing penis middle town,
shame,somebody knows well discovered told lie,
guilt,boyfriend away flirted best friend felt guilty next day,
anger,recently good friend called needed something never said please thank kind word,
sadness,favourite horse died tried best save hopeless shot,
disgust,read book sexual phantasies women read woman sexual intercourse dog,
shame,flat bathtub kitchen beginning intensive feelings shame bath people kitchen,
guilt,take care plants friend mine several weeks watered let stand cold room two perished,
joy,met good friend long time quarrel two weeks really glad see,
fear,stayed vienna class friend behaved incorrectly teacher threatened us exclusion school,
anger,lost driving license driving influence alcool,
sadness,mothers death,
disgust,entered dissecting room first time think felt disgusted mainly bad smell formaline,
shame,think felt ashamed first time entered night club,
guilt,ski tour friend two drunk much went slope ski lost friend lost way thought something must happened finally arrived long time,
joy,father stayed abroad one year like write letters makes ortographic mistakes never good relation wrote letter said loved,
fear,child always afraid father looked felt frightened,
anger,colleague asked study could explain things perfectly expected reacted aggressive manner,
sadness,christmas holidays went see parents stayed two weeks two three days conflicts ten years lived glad left,
disgust,old man hospital hollowcheeked one half nose glasseye rattling breath,
shame,father came bathroom saw standing naked,
guilt,live boyfriend close relationship fell love another man,
joy,met girlfriend counted,
fear,one night feeling somebody stealing car frightened go see,
anger,rearranged furniture flat got stuck chair,
sadness,person died really friend,
disgust,several weeks ago problems friends felt disgusted friend,
shame,child thought ashamed asking certain forbidden things,
guilt,quarreling friends,
joy,southern tyrol gathering apples fine day thinking anything felt overwhelming joy,
fear,girlfriend slept lonely hut drunk alcool suddenly soil fell us water although tried hard could find cause,
anger,helped little sister years learning mathematics obviously want understand explained started cry grew angry,
sadness,girlfriend told wanted leave,
disgust,trip passed cellulose factory fine day beautiful landscape observed factory disgust,
shame,went sauna father first time entered sauna naked felt ashamed short time,
guilt,came home discotheque half past four morning although promised parents come home midnight felt guilty towards parents,
joy,friend missed much came see unexpectedly,
fear,way lonely streets met huge stray dog stopped distance looked tried ignore frightened,
anger,friend mine tried persuade go place act model felt tired quarter hour appointed time lied want go late anyway said talking looking work possible would accept angry unjust judgment,
sadness,lived boyfriend foreign country half year saw impossible stay economic reasons separated although loved,
disgust,certain book read cruelties violence prison souteneur circles felt especially disgusted read detailed descriptions physical mental torture less powerful people,
shame,talked psychotherapist first time started cry first talked say anything crying,
guilt,went shopping mother sister years old mother always told sister buy instead assisting sister defending mothers interference behaved aggressively towards sister,
joy,worked aupairgirl london received call good friend told london wanted see glad call especially saw,
fear,st claus day five years old st claus devil servant came see st claus devil servant rattled chain bowled terribly frightened parents ask leave,
anger,friend called told wanted come see lived village km distance fom home town next morning expected didnt arrive got impatient called parents told gone skiing angry cancelled appointment able see,
sadness,eight years old father run car saw body sad beyond words,
disgust,friend prepared soup chicken heads invited eat saw eyes staring tongues hanging bills disgusted felt nausea leave room,
shame,go gynecologist sit special chair felt ashamed,
guilt,terrible quarrel family withdrew room felt guilty caused scene aggressive behavior,
joy,unexpected possibility see friend like much,
fear,afraid certain examination although relatively well prepared,
anger,hairdressers got two stains dyestuff new trousers stains removable put trousers,
sadness,grandfather close relationship died,
disgust,drunken man forced kiss,
shame,friend started insult another person without reason felt ashamed behavior,
guilt,call somebody possibility call time pm,
joy,one years stay abroad returned home even glad see much family pleased see,
fear,went home alone restaurant dark went fast behind drunk men shouted chance met friends accompanied,
anger,friend shares room opened window morning left room whole day came home evening room cold couldnt stay,
sadness,aunt loved much died heard death touched funeral really became conscious death moment,
disgust,friend told managed win sympathy many people possible said first listened said tried say things would like hear would never express opinion felt really disgusted told,
shame,restaurant made acquaintance boy always told things loud voice laughed said always repeated things time later heard undergone complicated brain operation,
guilt,closing front door realized left key inside house felt even guilty since house house people hardly knew,
joy,way france girlfriend went verona chance met italian couple gave us two tickets dressrehearsal aida different world us full fascination representation ate phantastic pizza restaurant near arena,
fear,mountain tour girlfriend passed inn near house big dog began follow us girlfriend afraid dogs draw attention jumped towards shoulders wanted play really like,
anger,arrived vienna middle night asked silly information realized afterwards inquiry clerk reacted arrogant manner,
sadness,leave girlfriend weeks studies happens frequently last hours departure always depressing,
disgust,stayed house friends washed face wanted dry towel towel seemed used long time already smelled indefinably awful,
shame,friend mine much money therefore stayed girlfriend bought meat nobody wanted go prepare dinner friend said thought wanted invite us dinner course said thought must enough bought,
guilt,happened still went school got closer girl considered affair much later realized painful must girl,
joy,informed short story written accepted publication,
fear,friends crossing street one friends seized car thrown aside seen car coming direction enough time react prevent accident,
anger,wanted clear misunderstanding friend caused third person meddled conversation turned efforts ridicule succeed intended,
sadness,death grandmother,
disgust,school difficulties mith mathematics work examination really felt disgusted,
shame,played stage play suddenly front people could remember words say,
guilt,one night come home without telling parents want speak afterwards mother cried bad conscience felt guilty,
joy,weeks saw girlfriend,
fear,one evening tramway afraid two drunk men molesting girlfriend,
anger,went singing group young people january th three magi local custom called star singing one girls girlfriend broke star accompanying person felt angry thinking consequences,
sadness,grandmother friend died hospital friend crying sad,
disgust,saw physically handicapped young man whose spittle ran mouth speaking,
shame,group situation suddenly turn say something felt able express well felt ashamed blushed,
guilt,girlfriends results school become worse prevented learning often went etc,
joy,went shopping parents father payed everything glad,
fear,child heard floor cracking thought burglar house hid blanket trembled,
anger,lecture colleague know anything subject got nerves asking silly questions,
sadness,grandfathers died realized much would miss,
disgust,football game another player perspiring strongly ran,
shame,tried pass examination particularly well worse ever felt ashamed,
guilt,military service lost part equipment accused another person rebuked punished,
joy,choral concert appeared solist concert good forgot hard work done remained undescribable joy feeling warmth security etc,
fear,cantor sing psalms church several weeks ago sing organist tell time know psalm afraid said could sing,
anger,christmas holdidays wanted invite brother girlfriend child dinner said brothers girlfriend would like come place dinner refused never mentioned never asked,
sadness,several years ago brother died accident heard sad took years resigned,
disgust,read book situation southafrica terrible violations human rights disgusted white population,
shame,pt instructor also works masseur wanted massage therefore undress first times easy got gradually used,
guilt,time ago took driving test answer theoretical questions well failed practical driving test fault enough practice,
joy,brother came back home staying hospital undergone operation matter life death came home could see smile first time may weeks,
fear,short stay marocco missed ferryboat back spain look accomodation chance met man offered take us camping site sitting car terribly afraid heard people robbed marocco,
anger,exhausting day came home wanted take bath relax father wanted take bath first finished hour hot water left,
sadness,met nice people holdidays left knew would never see,
disgust,drunk man attacked wife wanted humiliate insulting turned violent started beat front child left happen without saying word order make things worse watched scene tried calm man without success stronger comply day detested,
shame,medical checkup boys girls take clothes exception underwear go another classroom older pupils sitting staring us,
guilt,allowed little brother clean bathroom way mother came saw floor overflowed water slapped brother face told go bed immediately,
joy,one day feel well wanted talk somebody friend invited dinner glad,
fear,driving car misty night alone car felt totally insecure nervous overstrained,
anger,mother treated unjustly little child said mean things unable defend adequately,
sadness,uncle died loved much sad felt totally helpless,
disgust,watched news tv commentary hainburg felt disgusted heard members union speak situation,
shame,took tram without paying many people around caught controller felt ashamed also angry,
guilt,behaved nasty manner towards friend said things could said friendly way felt guilty,
joy,friend mine often difficulties parents child better relationship,
fear,school class went skiing steep slope boy standing behind lost balance fell drew slided whole slope distance tree could stop,
anger,happened tram older people started grumble young people immediately left seat,
sadness,younger good apparatus gymnastics always competitions fourth place,
disgust,friend assaulted young man way home,
shame,men talking sister,
guilt,holidays boyfriend turned away outwardly therefore danced another man raised certain hopes explain circumstances,
joy,received letter christmas present person seen two years,
fear,home alone mother asked heat house put much fuel stove began glow noise whole house going explode,
anger,end holiday job got less money due nobody mentioned anything,
sadness,little cat raised hanged playing garden,
disgust,school classmate good pupil help another boy performed less well told purpose wrong things repeat year,
shame,child played mother nasty trick make feel hurt,
guilt,promised friend take important appontment late missed opportunity get wellpayed holiday job,
joy,boyfriend fond months jubilee forgotten gave red rose,
fear,child afraid big dogs one day came home big dog laying front door frightened dare enter door waited somebody passed,
anger,share small flat friend birthday could see evening stay university day evening left lecture finished able buy flowers home called tell would stay night boyfriend,
sadness,child grassparakeet liked much legs crippled could move fast came room notice stepped days later died,
disgust,younger often saw father come home drunk big problems time woke middle night shouted,
shame,school bad mathematics although teacher admonished homework one day forgotten teacher noticed blushed ashamed rebuked front pupils,
guilt,child often quarrelled younger sister became angry slapped face cried shouted mother came scolded,
joy,weekend seminar saw husband hurried home hoping would embraced enjoyed feeling body,
fear,one evening stayed home alone lived ground floor often afraid burglers,
anger,one day riding bicycle path car coming opposite direction forced get bike although priority,
sadness,father died unexpectedly age years certainly would liked live longer also said confronted fact would die one day,
disgust,one day twelve years old brother took slimy substance swimming surface pot vinegar made cider threatened throw,
shame,ten years old classmate laughed told father retired,
guilt,felt guilty accomplished thing well wanted,
joy,party friends new years eve,
fear,hitchhiking went man drived like madman,
anger,hainburg december angry politicians police,
sadness,met good friend year realized grown certain distance us,
disgust,listened conversation friends talking power money,
sadness,grandmother died funeral,
disgust,read monk murdered put barrel filled blood pigs,
shame,went walk close friend talking problems told lies,
guilt,tell collegue time appointment another collegue told wrong time obviously fault,
joy,went buy bicycle father wanted pay father took purse payed,
fear,mother fallen ladder gathering cherries back hurt arrived saw people lifesaving service giving medical care,
anger,waiting behind car going leave parking place wanted park car uncoming traffic wait short time another driver placed car place,
sadness,partner left together long time,
disgust,discussion friend took faschistic view expected,
shame,weekends seminar trousers suddenly burst therefore prevented participating several activities,
guilt,driving motorbike went bend incautiously fell slightly hurt motorbike slightly damaged,
joy,christmas got know girl relationshop could consolidate holiday therefore big surprise get carefully handmade present relationship grew closer,
fear,child fell cellar playing could freed big difficulties,
anger,angry several drivers showed aggressive dangerous driving habit,
sadness,grandmother died deep relation lived several years,
disgust,time ago girl tried make without action part used possible means although behaved refusingly give longer time,
shame,went sauna first time men women,
guilt,parking car cautious bumped another car caused considerable damage driver car angry let insult felt guilty,
joy,person seen long time called invited party,
fear,walking street group drunk bawling young people approached,
anger,househunting another person got flat would liked heaped floot words letter,
guilt,shoplifted pair earrings coles mum caught bag,
joy,mother tremendous phone talked hours good mood,
fear,saw good male friend unexpectedly year ive returned overseas feeling tired looking mess nervous,
anger,wanted talk someone liked told likes brother even however avoids confrontation vague,
sadness,left company someone gave lot support made laugh found alone days end,
disgust,boy continued use foul language swearing front group friends,
shame,seven eight caught stolen dolls dress nextdoor neighbour,
guilt,feeling guilt greed buying chocolate pigging point feeling sick especially fat,
joy,planning marry,
fear,really strong emotion falling sleep caught sight cm diameter spider crawling onto pillow beside,
anger,feelings towards wouldbe inlaws participation recent broken relationship,
sadness,recent breakup seriors longterm relationship helped along wouldbe inlaws,
disgust,strong emotion treatment sister dancing instructor user ie takes advantage good nature,
shame,failing second attempt med following number difficult personal circumstances,
guilt,failure complete medical course result failing fourth year twice,
joy,wayne sue close friends announced guardians ther wedding,
fear,car accident nearly occurred us drunk driver coming opposite direction missed us approx collided rolling twice midair nearby scrub,
anger,boyfriend lied,
sadness,boyfriend took fathers grave,
disgust,boat trip saw mother giving young child aprox years cigarettes,
shame,harassed boy sexual refer guilt,
guilt,grade late home school every day weeks harassment grade boy lied mother home late,
joy,getting parttime job,
fear,small car accident black ice road cars front us started zigzagging car front 側 turn followed ended gully,
anger,people hunting animals,
sadness,grandfather sick died felt sad though sick,
disgust,people spitting railway stations,
shame,falling,
guilt,eating much felt guilty afterwards knew shouldnt overeaten im putting much weight,
joy,last years second semester results came ecstatic,
fear,sleeping room woke middle night think could hear noises see shadows moving felt someone house,
anger,school couple years ago socalled acquaintance told lies teacher told friends overheard conversation,
sadness,grandfather died lived almost recluse caring well dad helped much could didnt save unexpected death second de facto wife lucky wasnt jailed,
sadness,penultimate job responsible sections several employers several years dedication dismissed new chef saying incompetent,
disgust,assisted scene police attacked person didnt documents savagery much attacked person bleeded much,
shame,party friends got completely drunk,
guilt,homes yard plaing football cousin certain quick ball went uncontrolled putting birdcage killing,
joy,get something seemed hard like getting job boyfriend etc specific sutuations started date boy liked long time,
fear,assume position didnt expect,
anger,dismissed unjustly firm worked persons didnt problems wouldnt miss jobs occupied dismissed,
sadness,felt sad give something right mine although didnt get kind suvenir people dont give right,
disgust,acts brutal violence generally disgusts fights phisical aggrssion etc,
shame,felt ashamed certain occasion read text didnt stop stuttering,
guilt,reproved eighth grade high school,
anger,talked teacher yesterday say least rude unwise irrelevant opinions friend,
sadness,loss woman loved till today,
disgust,sexual experience unknown woman sexual act could go away without looking backwards,
shame,wanted kiss friend didnt succeed felt shame,
guilt,telephone talk agressive stupid without least reason better motive,
joy,succeed writing something felt felt well happy able express something suffocating,
fear,crashed car,
anger,difficult moment couldnt express correctly thought came distortions bringing highly negative distorted results,
sadness,heard death somebody liked much present either see person try share emotions friends,
disgust,saw woman subjugated money able hide hated power get situation convenient according told,
shame,somebody suddenly said something wrong moment didnt agree exact moment needing extremely positive word,
shame,mother surprised masturbating,
guilt,forgot water flowers flat rebuked friends share flat,
joy,final examination school glad examination passed,
fear,child nightmare time yet able tell anybody frightened could explain deal,
anger,angry person behaved terribly ball offending relatives,
sadness,grandfather died heard death bad feeling stomach felt lost something precious,
disgust,brother caught spider let frog eat,
shame,spoke without thinking much quite nonsense,
guilt,sure whether help old woman going flight stairs watched saw difficult,
joy,one year rather bad relation father last christmas eve invited stay withhim glad fine evening,
fear,live outside graz go bus one day went home bus stop alone dark go forest dark figure behind frightened,
anger,sister promised help translation english german day needed told busy angry,
sadness,several years ago mother died ill long time nevertheless death came unexpectedly still want believe true,
disgust,horror spiders snakes walk wood saw body slowworm without head,
shame,came home party rather drunk said things would never said normally next morning terribly ashamed said,
guilt,accident happened little cousin taken enough care fell floor hands hurt,
joy,little cat sick liked much went veterinary told tend really recovered health everybody said saved life,
fear,child terrible nightmare st nicholas devil servant asked mother really existed said yes following nights could sleep light left turned,
anger,usually start learning short time examination made mind try work longer time got bad mark,
sadness,friend told cousin girlfriend said treated mean nasty way surprised front people always treated friendly way sad,
disgust,went sister boyfriend friend like young man suddenly overcame kissed strong could defend,
shame,oral part final examination made mistake speaking teachers laughed,
guilt,time get well sister always grumbled said bad things mother mother always scolded,
joy,passed final examination school,
fear,cave excursion friends suddenly lost afraid losing way cave,
anger,felt treated unjustly teacher,
sadness,grandmother died stronger relation mother,
disgust,molested old drunk man,
shame,latin examination school,
guilt,drunk much nearly got alcohol poisoning,
joy,met girlfriend another town long separation,
fear,went home alone early morning go wood,
anger,friend unpunctual wanted prepare examination,
sadness,grandparents moved another part town,
disgust,butchers saw animal slaughtered blood dripping floor,
shame,school bad running long distances classmates laughed reason,
guilt,take care little brother met friend pay attention certain time hurt playing,
joy,birthday old friend mine sent card met year glad thought,
fear,spent night friend secondary school told horror stories suddenly heard uncanny noises terribly frightened,
anger,still attended school brother usually went see aunt show terms report rewarded us money although reports good brothers got money,
sadness,friend pregnant lost child second month went see hospital crying felt sorry,
disgust,attended school class visited institution mentally physically handicapped persons although tried control feelings disgusted,
shame,party spent night friend drunk morning disillusioning friend leaving room felt shabby immoral,
guilt,take care neighbours child look time child fell hurt felt guilty,
joy,good friend mine away three months met ran embraced,
fear,one evening father told go cellar get beer terribly frightened idea man sitting cellar assaulting defence took empty bottle,
anger,stolen bottle rum person knows well threatened call police pay shillings,
sadness,uncle died saw funeral first time people stood around open grave cried,
disgust,party met girl drew told nonsense always wanted kiss,
shame,put head pullover girl see breasts girl looked felt ashamed,
guilt,uncle promised buy bicycle time went received yet asked father buy later heard uncle wanted offer bicycle birthday two weeks later,
joy,several days final examination school sitting airplane way greece enjoyed moment much,
fear,one night lying bed awake eyes closed saw figures terrible faces black frocks bending touching opened eyes could still see feeling somebody room terrible turned light able go sleep,
anger,arranged friend go carinthia car arranged place meet bit late friend left already money go train nearly started cry angry important go carinthia,
sadness,dog shot killed roe liked much could resign hated hunter shot,
disgust,sitting stationhall watching lavatory attendant dirty started eat something dirty cup must something like lard took breadcrumbs pockets apron ate leave felt like vomitting,
shame,go doctors veneral disease told doctor must infected boyfriend true ashamed tell truth,
guilt,playing hurt little sister towards mother admit fault,
joy,neighbour able set car motion snowed heavily helped thankful invited,
fear,skiing friends wanted skijump want left behind braced followed,
anger,examination got bad mark small mistake went lector wanted talk listen sent away,
sadness,cut run car searching long time found lying kerb rather shocked angry driver,
disgust,watched report el salvador tv saw people murdered terrible methods,
shame,crosscountry race wanted take shortcut allowed caught disqualified friends observed,
guilt,discussion reacted aggressively made impossible continue discussing,
joy,birthday got present desired long time,
anger,discussing something person realize person thinking argumentations instead listening become angry,
sadness,holidays girlfriend leave weeks stay turkey weeks job,
disgust,studied medicine several semesters always disgusted dissectingcourse understand persons like course,
shame,time ago tournament tennisclub tactical reasons chosen play much weaker player although would enough simply win game defeated extremely would necessary,
guilt,discussion girlfriend time started quarrel least get upper hand said important might believe time later apologized,
joy,new years eve went disco friends amused got know many people,
fear,go dentists touched tooth drill terribly aftaid pain would feel moment,
anger,hungry wanted start eating friend called usually talks long time angry prevented eating,
sadness,sister like much asked favour refused flimsy reason time later felt sorry something like sadness,
disgust,way concert went man tried molest moment care much impression fills disgust,
shame,asked friend come disco wanted person know well amused others let friend sit alone although asked come,
guilt,called little sister make pick toy floor still refused asked fourth time began quarrel last whole family involved quarrel trouble brewing,
joy,singinglesson good last exercise singing scales well teacher seemed satisfied,
fear,teacher wanted instill certain opinion certain behaviour refused afraid saw,
anger,friend promised call certain time expected call impatiently vain,
sadness,years ago christmas eve felt sad realized first time missed father died christmas years ago,
disgust,man like drunk tried molest,
shame,time everybody spoke discussed hainburg also asked opinion ashamed firm view whole thing therefor able join conversation,
guilt,concerttour therefor seperated boyfriend needed warmth given male member orchestra feelings towards deep feelings felt guilty said radiator,
joy,th birthday passed drivingtest glad study much lucky proof really difficult everybody passed test,
fear,midnight go bike graz alone whole distance several kilometers car followed streets went oneway street car disappeared rest way home afraid,
anger,studied almost one week physicsexamination difficulty passed examn angry teacher also remembered enough examn time spent studying wasted,
sadness,cared horse years one day sold cried several days sad,
disgust,friend mine telling jokes felt disgusting especially eating,
shame,carnevalparty smooched man days later rather ashamed,
guilt,fun tussle sister suddenly obviously hurt unintentionally ran room crying,
joy,first week graz met girl got know train amsterdam graz although considered sympathetic seperated without changing adresses,
fear,many years ago saw film psycho hitchcock first time saw film alone afterwards hardly dared go bed hardly able sleep,
anger,got bad cold father said must crazy go motorbike temperatures answered care cold said care anything could leave second time said something like,
sadness,home alone realized young roe approached house hid want frighten limped time later thought already run away saw lying terrace came nearer saw terribly wounded informed ranger said roe must attacked dogs shoot,
disgust,several years ago stayed friends mountains one week lived hut cook one day friend succeed preparing spaghetti dinner terrible nevertheless ate rather much improper unsavoury conversation,
shame,mother grandmother talking one grandmothers friends hardly know gave deprecatory comments whereupon grandmother told man died recently,
guilt,still went primaryschool went skitrip family skiing went restaurant lunch suddenly father said forgotten something car gave key asked go get difficulties key already bent asked mother help tried turn key broke second key mother blamed say word,
joy,studied much final examination school take additional examination french oral examination hard glad heard passed,
fear,years old tonsils operated complicated operation started afraid never forget,
anger,parents divorced father pays alimony two years ago sister lives father suddenly asked mother money considered amount money mother offered small brought action mother terribly angry sister,
sadness,arranged friend go skating next day asked wake telephone twelve oclock come home late morning next day called home something like happened several times came conclusion one rely anybody felt sad,
disgust,whenever see spider snake feel disgusted,
shame,slept boy first time felt ashamed three reasons first years old second really like third caught napping,
guilt,together boyfriend two half years got know another girl even tried conceal drew conclusions left also felt bit guilty happened,
joy,boyfriend told would take training lifesaving dogs,
fear,dark cellar saw glowing red point thought person cigarette red switch,
anger,man treated dog badly insulted beated dog kept lying floor tail drawn,
sadness,horse liked much taken away,
disgust,tv saw report church amerika priest shown performing miracles front camera felt disgusted,
shame,child uncle came see us spit ran know reason father came insisted apologizing,
guilt,quarreled boyfriend said unfair always started crying give,
joy,able prepare better important examination spend nitht girlfriend students hostel done months day examn somebody knocked door seven oclock morning girlfriend likes sleeping late come able,
fear,studied medicine several semesters time developed great fear examinations afraid examination anatomy students examined dissecting able hear everything waiting fear turn,
anger,come home evening first thing sit smoke cigarette one day found flat totally desolate state girlfriend wanted tidy finished,
sadness,sons mother told wanted move vienna take child means rather long distance whole family sad dumbfounded feelings intensified,
disgust,near person got awkward situation showed helplessness indecision,
shame,spent evening girlfriend wanted go bed totally drunk next morning felt rather ashamed,
guilt,threw away object belonged friend know friend sad felt guilty,
joy,long time saw boyfriend,
fear,first public appearance front rathe big audience,
anger,angry government acted concerning hainburg especially saw discussion tv,
sadness,death father,he died of laryngeal cancer.
disgust,got indecent offers,
shame,bought new skis ashamed tell assistant good skiing therefor bought racing skis,
guilt,schoolmates teasing pupil able defend well taken part,
joy,thought failed examination informed mark saw passed,
fear,examination fealing learned enough,
anger,playing table tennis already sure would win last lost game,
sadness,grandfathers funeral,
disgust,cinema saw film showed person torn guts still alive,
shame,sitting restaurant friends asked something thought know actually know time able remember,
guilt,appointment friend promised meet last without informed,
joy,psychical crisis met girl told almost problems finally overcome,
fear,climbed cherry tree alone thick caterpillar beside fingers feel disgusted caterpillars snakes terribly afraid caterpillar crawling fingers fear almost unable climb,
anger,friend mine told people slattern occurence happened time ago heard angry,
sadness,grandfather seriously ill days left live always loved never told saw last time feeling omitted many things could fly sitting forehead weak drive away sad saw,
disgust,normally father never tells vulgar jokes speak sexual things told vulgar joke really disgusted tell friends present,
shame,years old pulled trousers friend wanted know looked like mother watched punishment sent house never spoke think embarassing,
guilt,told boyfriend loved much wanted put end relationship long time told also long time felt guilty hurt much,
joy,unexpectedly met persons like much spontaneously invited integrated within group although late evening,
fear,footballmatch went home car friend drove realize drunk car madly racing several times dangerous situations told cautious care,
anger,friend mine uses butter instead oil cooking always angry unnecessary luxury recently cooking wanted use butter already put oil pan poured put butter pan,
sadness,friends come see stayed several days got well left feeling emptyness,
disgust,quarrel friend lived flat moved went invited friends drink last totally drunk smelled disgusting besides told lies us behaved pitied,
shame,went see friend people everybody brought present onlyone brought nothing friend hospitable show anything although knew felt,
guilt,group handicapped people went party wanted leave able find one people told mother would leave pm actually planned pm therefore delay,
joy,quarrel fianct admitted fault everything allright first time surprised coffee cake bunch flowers,
fear,boyfriend beaten first time always trembled somebody knocked door heard steps coming nearer,
anger,eaten anything days able pay fine fianct stayed another town spent one thousand shillings restaurant time,
sadness,give love work well,
disgust,insulted without reason drunk man,
shame,boyfriend drunk much beaten show letter door almost crashed felt ashamed,
guilt,spied fianct terribly jealous later saw reason,
joy,sister daughter saw baby first time pane glass looked,
fear,mother sister sitting sitting room watching film tv father came home drunk told us turn switched fuse started shouting sitting dark afraid would us harm,
anger,bought aquarium made much pleasure watching fish father came asked much payed said would pay current would require,
sadness,years old got cat days died sad nursed taken veterinarys vain although short time liked much,
disgust,grandmother years old lived us several years saw illness even want breath air smelled presence,
shame,lefthanded attended first form learned write pens smeared everything written friends written well wanted know teacher looking notebook ashamed,
guilt,spent holidays seaside sister friend wanted go bay undangerous way wanted arrive went shorter dangerous way arrived found nobody waited long time nobody came way back met mother searching desperatly scold saw much worried,
joy,mystic vision melted dazzling light omitted perfect love physical experience became unimportant heard saw words overcome egotism feeling joy remained month experience,
fear,swimming instruction take header springboard usually refused least forced,
anger,played chess championship disturbed people asked quiet vain,
sadness,fluteteacher replaced new one,
disgust,child sometimes forced eat things disgusted,
shame,years old friends family come watch tv lay floor moved pelvis people gone mother told looked wanted make sex,
guilt,shirked gymnastic lesson met director school asked,
joy,situation seemed hopeless moved back parents father went without saying anything normally ofter grumbles,
fear,lived flat couple woman jealous sometimes crying fits eventually husband could stand wanted kill,
anger,big family grandmothers funeral met everybody pretended mourning reality like fashionshow everybody wanted show,
sadness,often dog treated badly owner comes us,
disgust,pleasant evening friends flat one want leave wanted sleep said fallen love felt alone,
